# EnvCell.Position full census - ADR-0009 auditable artifact
# Generated: 2026-05-31T19:54:34.9601991-07:00
# acdat: C:\Users\darin\repos\ac-unreal\pipeline\dat-extract\bin\Release\net8.0-windows\acdat.exe
# DatDir: C:\Turbine\Asheron's Call

================================================================
LANDBLOCK 0x8602  (LbX=134, LbY=2)
----------------------------------------------------------------
  Landblock 0x8602 (LbX=134, LbY=2):
    HasObjects:     True
    Terrain[]:      81 entries (9x9=81 expected)
    Height[]:       81 entries (81 expected)
    LandblockInfo:  present (file 0x8602FFFE in CellDat)
      NumCells:     568   (= indoor EnvCells inside this landblock)
      Buildings:    0
      Objects:      0
      PackMask:     0x00000000

  Per-cell Frame.Origin (landblock-local) and composed world position:
  CellId                Frame.Origin(x,y,z)                   World(x,y,z) InFootprint?
  0x86020100   (  150.00,  -230.00,  -12.00)   (  25878.00,     154.00,  -12.00)   OUT
  0x86020101   (  150.00,  -240.00,  -12.00)   (  25878.00,     144.00,  -12.00)   OUT
  0x86020102   (  160.00,  -230.00,  -12.00)   (  25888.00,     154.00,  -12.00)   OUT
  0x86020103   (  160.00,  -240.00,  -12.00)   (  25888.00,     144.00,  -12.00)   OUT
  0x86020104   (  160.00,  -250.00,  -12.00)   (  25888.00,     134.00,  -12.00)   OUT
  0x86020105   (  170.00,  -240.00,  -12.00)   (  25898.00,     144.00,  -12.00)   OUT
  0x86020106   (  170.00,  -240.00,  -12.00)   (  25898.00,     144.00,  -12.00)   OUT
  0x86020107   (  170.00,  -250.00,  -12.00)   (  25898.00,     134.00,  -12.00)   OUT
  0x86020108   (  180.00,  -240.00,  -12.00)   (  25908.00,     144.00,  -12.00)   OUT
  0x86020109   (  180.00,  -240.00,  -12.00)   (  25908.00,     144.00,  -12.00)   OUT
  0x8602010A   (  180.00,  -240.00,  -12.00)   (  25908.00,     144.00,  -12.00)   OUT
  0x8602010B   (  180.00,  -240.00,  -12.00)   (  25908.00,     144.00,  -12.00)   OUT
  0x8602010C   (  180.00,  -250.00,  -12.00)   (  25908.00,     134.00,  -12.00)   OUT
  0x8602010D   (  180.00,  -250.00,  -12.00)   (  25908.00,     134.00,  -12.00)   OUT
  0x8602010E   (  180.00,  -250.00,  -12.00)   (  25908.00,     134.00,  -12.00)   OUT
  0x8602010F   (  190.00,  -220.00,  -12.00)   (  25918.00,     164.00,  -12.00)   OUT
  0x86020110   (  190.00,  -220.00,  -12.00)   (  25918.00,     164.00,  -12.00)   OUT
  0x86020111   (  190.00,  -220.00,  -12.00)   (  25918.00,     164.00,  -12.00)   OUT
  0x86020112   (  190.00,  -230.00,  -12.00)   (  25918.00,     154.00,  -12.00)   OUT
  0x86020113   (  190.00,  -230.00,  -12.00)   (  25918.00,     154.00,  -12.00)   OUT
  0x86020114   (  190.00,  -230.00,  -12.00)   (  25918.00,     154.00,  -12.00)   OUT
  0x86020115   (  190.00,  -240.00,  -12.00)   (  25918.00,     144.00,  -12.00)   OUT
  0x86020116   (  190.00,  -240.00,  -12.00)   (  25918.00,     144.00,  -12.00)   OUT
  0x86020117   (  190.00,  -240.00,  -12.00)   (  25918.00,     144.00,  -12.00)   OUT
  0x86020118   (  190.00,  -240.00,  -12.00)   (  25918.00,     144.00,  -12.00)   OUT
  0x86020119   (  190.00,  -250.00,  -12.00)   (  25918.00,     134.00,  -12.00)   OUT
  0x8602011A   (  190.00,  -250.00,  -12.00)   (  25918.00,     134.00,  -12.00)   OUT
  0x8602011B   (  190.00,  -250.00,  -12.00)   (  25918.00,     134.00,  -12.00)   OUT
  0x8602011C   (  200.00,  -210.00,  -12.00)   (  25928.00,     174.00,  -12.00)   OUT
  0x8602011D   (  200.00,  -210.00,  -12.00)   (  25928.00,     174.00,  -12.00)   OUT
  0x8602011E   (  200.00,  -210.00,  -12.00)   (  25928.00,     174.00,  -12.00)   OUT
  0x8602011F   (  200.00,  -220.00,  -12.00)   (  25928.00,     164.00,  -12.00)   OUT
  0x86020120   (  200.00,  -220.00,  -12.00)   (  25928.00,     164.00,  -12.00)   OUT
  0x86020121   (  200.00,  -220.00,  -12.00)   (  25928.00,     164.00,  -12.00)   OUT
  0x86020122   (  200.00,  -230.00,  -12.00)   (  25928.00,     154.00,  -12.00)   OUT
  0x86020123   (  200.00,  -230.00,  -12.00)   (  25928.00,     154.00,  -12.00)   OUT
  0x86020124   (  200.00,  -230.00,  -12.00)   (  25928.00,     154.00,  -12.00)   OUT
  0x86020125   (  200.00,  -240.00,  -12.00)   (  25928.00,     144.00,  -12.00)   OUT
  0x86020126   (  200.00,  -240.00,  -12.00)   (  25928.00,     144.00,  -12.00)   OUT
  0x86020127   (  200.00,  -240.00,  -12.00)   (  25928.00,     144.00,  -12.00)   OUT
